,0,1,2
0,4.860272,4.7128696,4.269861
1,6.3643365,6.089922,5.469682
2,7.4099693,7.242632,6.8876305
3,5.6857123,5.027416,4.619994
4,7.4416885,6.794175,6.404938
5,5.3813496,4.7285166,3.9848351
6,6.400998,5.9704795,5.885112
7,6.6247253,6.1785583,5.7239537
8,5.8087435,5.60322,5.017295
9,10.030757,9.845269,9.543859
10,7.560036,7.270216,7.0234175
11,5.720776,5.0693545,4.02976
12,7.63339,6.6155,6.1036563
13,7.408003,7.142124,6.927534
14,4.613427,4.5671024,-0.0235563
15,3.9576635,0.61353785,-0.07954109
16,4.781819,4.5907464,4.1724553
17,7.212718,6.889246,6.802278
18,7.4713326,7.1812267,7.014097
19,7.3928123,7.25893,7.0633154
20,8.03714,6.8321214,6.197461
21,5.101107,4.714677,-0.0063474625
22,4.929929,4.736211,4.2452664
23,3.3668933,0.025833724,-0.041862532
24,8.117877,7.5610285,6.9955325
25,8.270131,0.05213865,0.16425437
26,5.5760593,3.4361413,2.8783221
27,7.7876244,7.43006,7.0392294
28,4.6574373,-0.21216524,0.036936432
29,3.0875034,0.10496705,-0.039988026
30,7.4601746,6.859111,6.3313932
31,4.7528276,4.2010283,3.66038
32,5.188096,2.9014206,0.51694596
33,6.6153994,5.9571123,5.445756
34,7.2324038,6.609209,6.0123644
35,7.206196,6.8679137,5.736875
36,5.8356166,5.3105197,4.878321
37,5.585284,4.554913,3.615997
38,7.479291,6.8156877,6.495142
39,6.8541026,6.5150013,6.3336945
40,7.991653,7.5551734,7.211899
41,4.0534873,3.8096962,3.868625
42,3.8299394,0.2145342,-0.11132236
43,6.3619103,5.560611,5.09157
44,5.412544,-0.17464611,0.09210613
45,4.8542995,4.7645984,4.637897
46,6.075423,3.5289521,-0.02050905
47,4.402127,3.2361083,2.4682949
48,5.69224,5.190218,4.5113525
49,5.0752807,4.48228,4.1606345
50,7.233656,7.206294,6.7409415
51,6.7837696,6.299692,6.2213144
52,5.9606376,1.026592,-0.20746776
53,6.4626694,5.9526696,5.4278116
54,4.5886497,4.4964933,2.5190225
55,8.28446,5.9357867,5.5957117
56,5.3242044,4.9634447,3.3028116
57,3.7991161,3.2593818,2.3214006
58,9.1396265,8.904055,8.910867
59,5.268076,4.667201,3.9851515
60,4.585692,3.7623653,2.9777498
61,7.7488465,7.1418476,6.701824
62,6.1211143,3.8571517,2.2420046
63,6.706981,6.264207,5.9611616
64,4.6707406,4.2022667,3.9536712
65,4.729243,4.0427566,0.22853842
66,6.8889885,6.2414265,6.0247307
67,6.0849648,5.495397,5.225753
68,6.381012,0.8471048,-0.29978928
69,6.9055624,5.9090414,5.6065874
70,2.3233984,0.097046494,0.009754509
71,5.213988,5.0697036,4.9120436
72,3.2688832,1.7706876,0.2582459
73,4.958847,3.658104,0.008190826
74,3.7387848,2.805673,-0.08350068
75,2.5900853,0.27234474,0.06124051
76,5.77764,4.5755033,4.049647
77,8.849268,7.5779934,6.7565455
78,5.0245605,3.6376417,0.21644783
79,5.784105,4.7721295,2.9329307
80,6.269489,5.9495773,5.553337
81,8.033859,7.4922867,7.1750793
82,6.780308,6.5074024,5.6168957
83,9.165292,7.83853,6.613551
84,3.1250415,2.693355,-0.07573903
85,4.2711935,0.030854512,0.010621294
86,2.6225286,0.09364249,-0.00013044477
87,5.774992,4.9124894,4.4655404
88,5.2106676,4.8912144,4.7398024
89,10.023024,9.079493,8.812611
90,3.702702,0.22630158,-0.029713914
91,4.599889,3.6463926,3.6044495
92,7.4863024,6.7265596,6.066234
93,3.6212218,2.398662,0.3407334
94,5.7834687,5.7646904,5.267144
95,8.099587,7.3401823,7.1035376
96,5.9914126,5.4513583,5.0465374
97,6.122297,5.1647615,3.8952212
98,4.267981,3.5012217,3.0722442
99,6.203466,4.867673,3.5539484
100,7.6612535,7.471242,7.1782546
101,7.162298,6.5256586,6.1278057
102,5.7438564,5.3467064,5.2414393
103,9.703509,9.130325,8.91168
104,6.063298,5.515734,4.4506345
105,6.3477964,6.067012,5.848901
106,4.6902647,3.9638033,3.5430064
107,7.3431835,6.932792,3.5631404
108,6.132144,4.760065,4.0603786
109,8.38387,7.4829607,7.11026
110,7.9656982,7.2429776,6.5802064
111,7.8806663,7.350362,7.0275064
112,5.0369596,4.852718,4.6146607
113,2.9884982,0.07825809,0.019672006
114,4.9323244,1.5804265,0.33551955
115,8.866831,7.622282,7.045945
116,5.906555,5.6991143,5.2761874
117,6.0652375,3.3855236,0.0011040568
118,5.367194,5.084756,0.36435163
119,5.960729,4.975788,0.3189385
120,5.800451,4.536993,3.892225
121,4.4633427,3.527481,2.7756007
122,4.698366,3.9435887,3.187576
123,6.2487416,5.5603714,4.871729
124,6.63969,6.1728554,5.8572826
125,6.921633,5.916408,5.272057
126,5.628458,4.6594715,3.9777863
127,7.1757317,6.85969,6.2678423
128,5.039167,4.8231263,4.7316337
129,6.377539,6.0371737,5.53549
130,3.3093584,0.08295612,-0.016900688
131,8.103782,6.83846,6.188963
132,3.9964502,3.4340227,3.132774
133,7.9831505,7.6816297,7.476173
134,6.8864384,6.4348774,6.3321757
135,4.904668,4.7496037,4.6384096
136,7.5876303,6.9222364,6.6446996
137,5.5838413,4.4843884,3.4689758
138,4.695141,3.3533907,0.272206
